ImageId,EncodedPixels
505bc0a3928d8aef5ce441c5a611fdd32e1e8eccdc15cc3a52b88030acb50f81,76801 8 77313 8 77825 11 78337 12 78849 13 79361 15 79873 16 80385 16 80897 17 81409 18 81921 18 82433 18 82945 18 83457 18 83969 19 84481 20 84993 20 85505 20 86017 20 86529 20 87041 20 87553 20 88065 20 88577 20 89089 20 89601 20 90113 20 90625 19 91137 18 91649 18 92161 18 92673 18 93185 18 93697 18 94209 18 94721 18 95233 18 95745 18 96257 18 96769 18 97281 18 97793 18 98305 18 98817 18 99329 18 99841 21 100353 22 100865 23 101377 26 101889 26 102401 28 102913 28 103425 29 103937 30 104449 31 104961 32 105473 32 105985 33 106497 34 107009 34 107521 34 108033 34 108545 34 109057 34 109569 34 110081 34 110593 34 111105 34 111617 34 112129 34 112641 34 113153 34 113665 34 114177 34 114689 34 115201 34 115713 34 116225 33 116737 32 117249 32 117761 32 118273 32 118785 32 119297 31 119809 30 120321 30 120833 30 121345 30 121857 30 122369 30 122881 30 123393 30 123905 30 124417 29 124929 29 125441 28 125953 28 126465 28 126977 27 127489 26 128001 26 128513 26 129025 25 129537 24 130049 23 130561 22 131073 22 131585 21 132097 20 132609 20 133121 20 133633 20 134145 19 134657 18 135169 18 135681 16 136193 16 136705 16 137217 16 137729 16 138241 14 138753 14 139265 13 139777 10 140289 10 140801 4 141313 3
505bc0a3928d8aef5ce441c5a611fdd32e1e8eccdc15cc3a52b88030acb50f81,124685 15 125197 16 125697 34 126209 34 126719 39 127229 42 127741 42 128249 48 128761 48 129272 50 129782 53 130293 54 130803 58 131315 58 131826 60 132336 63 132847 64 133357 68 133869 68 134380 70 134891 72 135403 72 135913 74 136425 74 136936 75 137447 76 137959 77 138471 78 138982 79 139493 80 140005 80 140517 80 141029 80 141541 80 142053 80 142565 80 143077 80 143589 80 144101 79 144613 79 145125 78 145637 78 146151 74 146663 74 147175 74 147687 74 148199 73 148713 70 149225 70 149738 66 150251 64 150763 64 151278 57 151791 55 152304 52 152819 48 153331 48 153845 42 154357 42 154870 38 155383 30 155895 30 156413 14 156925 13 157440 6
505bc0a3928d8aef5ce441c5a611fdd32e1e8eccdc15cc3a52b88030acb50f81,172808 3 173319 6 173832 4 174344 3
505bc0a3928d8aef5ce441c5a611fdd32e1e8eccdc15cc3a52b88030acb50f81,152443 2 152449 2 152949 18 153460 20 153967 38 154479 38 154989 43 155499 48 156011 48 156521 54 157033 54 157544 56 158055 59 158566 60 159077 63 159589 63 160100 65 160611 66 161122 68 161633 70 162145 70 162656 71 163167 72 163678 74 164187 78 164699 78 165210 79 165721 80 166233 80 166743 83 167255 84 167766 85 168277 86 168789 86 169300 88 169811 89 170322 91 170833 92 171345 93 171856 95 172368 95 172879 99 173390 101 173902 101 174413 104 174925 104 175436 106 175947 108 176458 109 176969 112 177481 112 177993 113 178504 115 179015 116 179527 116 180039 116 180551 116 181063 116 181575 117 182087 118 182599 118 183110 119 183621 120 184133 120 184645 121 185157 122 185669 122 186181 122 186693 122 187205 122 187717 122 188229 122 188741 122 189252 123 189764 124 190275 125 190787 125 191299 126 191812 125 192325 124 192837 124 193349 124 193861 124 194373 124 194885 124 195397 124 195909 124 196420 125 196933 124 197445 123 197957 122 198469 122 198981 122 199493 121 200005 120 200517 120 201029 119 201541 117 202053 116 202565 114 203077 114 203590 113 204102 113 204615 112 205127 112 205639 112 206151 111 206664 109 207177 108 207689 108 208201 108 208713 108 209225 108 209737 108 210249 108 210762 107 211274 106 211787 104 212299 104 212812 102 213324 101 213837 99 214349 98 214861 98 215373 96 215885 96 216398 94 216911 92 217423 90 217935 88 218447 88 218960 85 219473 82 219985 82 220498 80 221011 58 221072 18 221525 56 221586 1 221592 7 222039 31 222073 20 222105 4 222551 30 222585 4 222591 14 223065 24 223105 6 223113 5 223579 10 223593 7 223619 4 223629 2 224093 2 224107 4
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,21766 4 22021 7 22275 10 22530 11 22785 12 23041 12 23297 12 23553 12 23809 11 24067 8 24324 6
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,60929 9 61185 11 61441 12 61697 13 61953 14 62209 15 62465 16 62721 17 62977 17 63233 18 63489 18 63745 19 64001 19 64257 19 64513 20 64770 19 65027 18 65283 18
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,12846 2 13100 7 13355 9 13611 10 13867 11 14123 12 14379 13 14635 13 14892 12 15149 11 15406 10 15663 9 15921 6
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,34119 5 34374 7 34629 9 34884 10 35139 11 35395 11 35651 11 35907 10 36163 9 36420 7 36676 6 36934 3
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,21602 8 21857 10 22113 11 22368 13 22625 12 22881 13 23137 13 23393 13 23650 11 23906 11 24163 9 24421 6
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,12662 3 12917 7 13172 9 13427 10 13683 11 13939 11 14195 11 14452 10 14709 9 14966 7 15224 4
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,50831 5 51086 7 51341 9 51596 11 51852 11 52107 13 52363 13 52619 13 52875 13 53130 14 53386 14 53642 14 53899 13 54155 13 54411 13 54667 12 54923 12 55179 12 55436 10 55692 9 55950 6 56208 2
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,30355 6 30610 8 30865 9 31121 9 31377 9 31632 10 31888 10 32144 10 32400 10 32657 8 32913 7
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,1953 6 2207 10 2462 13 2718 14 2974 16 3230 16 3486 17 3742 17 3998 17 4255 16 4512 15 4770 13 5028 11 5286 8 5545 4
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,28583 5 28837 9 29093 10 29348 11 29604 12 29860 12 30116 12 30372 12 30629 11 30885 11 31141 11 31398 9 31654 9 31911 7 32168 5
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,20178 6 20433 8 20688 10 20944 10 21199 12 21455 13 21711 13 21967 13 22223 13 22479 14 22735 14 22992 12 23248 12 23505 11 23761 10 24018 8 24276 5
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,213 12 469 12 725 12 981 13 1236 15 1492 15 1748 15 2004 16 2260 16 2516 16 2773 15 3029 15 3285 15 3542 14 3799 12 4056 10 4315 5
53df5150ee56253fe5bc91a9230d377bb21f1300f443ba45a758bcb01a15c0e4,54243 5 54497 9 54752 12 55007 14 55263 15 55519 16 55775 17 56031 18 56287 19 56544 18 56800 19 57057 18 57314 17 57571 17 57828 16 58085 15 58342 14 58599 13 58856 11 59113 10 59370 8 59628 4
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,22837 9 23356 13 23875 15 24394 16 24913 17 25432 18 25951 20 26470 20 26989 22 27508 22 28027 22 28546 23 29065 24 29584 24 30103 24 30622 24 31141 24 31660 24 32179 24 32698 24 33217 24 33736 24 34255 24 34774 23 35293 22 35812 22 36331 21 36850 20 37370 18 37896 9 38417 5
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,108473 3 108991 9 109510 13 110029 16 110548 16 111067 17 111586 18 112105 19 112624 20 113143 21 113662 23 114181 24 114700 24 115219 24 115738 23 116257 23 116776 24 117295 24 117814 24 118333 24 118852 24 119371 24 119890 22 120409 21 120928 20 121447 19 121966 17 122485 15 123004 11 123523 6 124042 4 124561 2 125080 2 125599 2
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,44667 2 45182 11 45700 14 46218 17 46735 19 47254 21 47773 21 48291 22 48810 24 49329 24 49849 23 50368 23 50887 23 51404 25 51924 24 52442 25 52962 24 53481 24 54001 23 54520 23 55039 23 55558 23 56077 23 56595 24 57115 23 57634 22 58153 21 58672 21 59191 21 59710 20 60230 18 60750 16 61270 14 61791 11 62312 7
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,93454 8 93968 17 94486 20 95004 23 95521 27 96040 29 96559 31 97078 31 97597 31 98116 31 98636 30 99156 29 99675 29 100194 29 100714 28 101234 26 101753 26 102273 25 102793 24 103312 24 103831 24 104350 24 104869 24 105388 24 105905 23 106424 23 106943 22 107462 22 107980 24 108498 25 109017 25 109536 25 110055 26 110575 26 111095 25 111614 25 112133 25 112652 25 113171 25 113690 25 114209 25 114729 24 115249 23 115769 20 116289 19 116808 19 117328 16 117849 13 118371 9
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,125654 8 126169 15 126686 18 127205 20 127724 20 128243 20 128762 22 129281 22 129800 22 130319 23 130838 24
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,70638 11 71155 15 71672 18 72189 21 72708 23 73225 28 73744 28 74263 30 74782 30 75301 30 75820 31 76339 32 76859 31 77379 30 77898 30 78417 30 78937 29 79457 28 79976 28 80495 28 81016 26 81535 26 82054 26 82573 25 83092 25 83611 26 84129 27 84647 28 85166 27 85685 26 86204 25 86723 17 87242 14 87761 14 88280 13 88799 13 89320 11 89839 11 90360 9 90879 9 91400 7 91921 4 92442 1
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,96074 3 96590 7 97109 8 97628 8 98147 8 98666 8 99185 8 99704 8 100223 8 100742 8 101260 9 101779 9 102298 9 102817 9 103336 9 103855 9 104374 9 104893 9 105412 9 105934 6 106456 3
336d3e4105766f8ad328a7ee9571e743f376f8cbcf6a969ca7e353fe3235c523,84675 2 85193 3 85711 6 86229 7 86740 17 87256 20 87775 20 88293 23 88812 23 89331 23 89850 23 90369 23 90888 23 91407 23 91925 24 92443 25 92962 26 93482 26 94001 28 94520 28 95039 30 95557 33 96077 32 96597 31 97117 32 97636 32 98155 33 98674 34 99193 34 99712 34 100231 34 100750 34 101269 34 101788 34 102307 34 102826 34 103345 34 103864 34 104383 34 104902 33 105421 13 105438 15 105940 11 105958 14 106459 9 106479 10
